1A,Sov Mil Order of Malta
U9G,European Russia
U9I,Asiatic Russia
U9M,Asiatic Russia
U9P,Asiatic Russia
U9S,Asiatic Russia
U9T,Asiatic Russia
U9V,Asiatic Russia
U9W,Asiatic Russia
U9X,European Russia
UA0,Asiatic Russia
UA2,Kaliningrad
UA8,Asiatic Russia
UA9,Asiatic Russia
UB0,Asiatic Russia
UB2,Kaliningrad
UB8,Asiatic Russia
UB9,Asiatic Russia
UC0,Asiatic Russia
UC2,Kaliningrad
UC8,Asiatic Russia
UC9,Asiatic Russia
UD0,Asiatic Russia
UD2,Kaliningrad
UD8,Asiatic Russia
UD9,Asiatic Russia
UE0,Asiatic Russia
UE2,Kaliningrad
UE8,Asiatic Russia
UE9,Asiatic Russia
UF0,Asiatic Russia
UF2,Kaliningrad
UF8,Asiatic Russia
UF9,Asiatic Russia
UG0,Asiatic Russia
UG2,Kaliningrad
UG8,Asiatic Russia
UG9,Asiatic Russia
UH0,Asiatic Russia
UH2,Kaliningrad
UH8,Asiatic Russia
UH9,Asiatic Russia
UI0,Asiatic Russia
UI2,Kaliningrad
UI8,Asiatic Russia
UI9,Asiatic Russia
U0,Asiatic Russia
U5,Ukraine
U8,Asiatic Russia
U9,Asiatic Russia
UJ,Uzbekistan
UK,Uzbekistan
UL,Uzbekistan
UM,Uzbekistan
UN,Kazakhstan
UO,Kazakhstan
UP,Kazakhstan
UQ,Kazakhstan
UR,Ukraine
US,Ukraine
UT,Ukraine
UU,Ukraine
UV,Ukraine
UW,Ukraine
UX,Ukraine
UY,Ukraine
UZ,Ukraine
U,European Russia
VK9FC,Cocos (Keeling) Islands
VK9FL,Lord Howe Island
VK9FW,Willis Island
VK9FX,Christmas Island
VK9KC,Cocos (Keeling) Islands
VK9KX,Christmas Island
VK9ZL,Lord Howe Island
VK9ZY,Cocos (Keeling) Islands
VH9C,Cocos (Keeling) Islands
VH9L,Lord Howe Island
VH9M,Mellish Reef
VH9W,Willis Island
VH9X,Christmas Island
VH9Y,Cocos (Keeling) Islands
VH9Z,Willis Island
VI9C,Cocos (Keeling) Islands
VI9L,Lord Howe Island
VI9M,Mellish Reef
VI9W,Willis Island
VI9X,Christmas Island
VI9Y,Cocos (Keeling) Islands
VI9Z,Willis Island
VJ9C,Cocos (Keeling) Islands
VJ9L,Lord Howe Island
VJ9M,Mellish Reef
VJ9W,Willis Island
VJ9X,Christmas Island
VJ9Y,Cocos (Keeling) Islands
VJ9Z,Willis Island
VK9C,Cocos (Keeling) Islands
VK9L,Lord Howe Island
VK9M,Mellish Reef
VK9W,Willis Island
VK9X,Christmas Island
VK9Y,Cocos (Keeling) Islands
VK9Z,Willis Island
VL9C,Cocos (Keeling) Islands
VL9L,Lord Howe Island
VL9M,Mellish Reef
VL9W,Willis Island
VL9X,Christmas Island
VL9Y,Cocos (Keeling) Islands
VL9Z,Willis Island
VM9C,Cocos (Keeling) Islands
VM9L,Lord Howe Island
VM9M,Mellish Reef
VM9W,Willis Island
VM9X,Christmas Island
VM9Y,Cocos (Keeling) Islands
VM9Z,Willis Island
VN9C,Cocos (Keeling) Islands
VN9L,Lord Howe Island
VN9M,Mellish Reef
VN9W,Willis Island
VN9X,Christmas Island
VN9Y,Cocos (Keeling) Islands
VN9Z,Willis Island
VP2E,Anguilla
VP2M,Montserrat
VP2V,British Virgin Islands
VZ9C,Cocos (Keeling) Islands
VZ9L,Lord Howe Island
VZ9M,Mellish Reef
VZ9W,Willis Island
VZ9X,Christmas Island
VZ9Y,Cocos (Keeling) Islands
VZ9Z,Willis Island
VA2,Canada
VB2,Canada
VC2,Canada
VD1,Canada
VD2,Canada
VE2,Canada
VF0,Canada
VF1,Canada
VF2,Canada
VG2,Canada
VH4,Australia
VH9,Norfolk Island
VI0,Antarctica
VI4,Australia
VI9,Norfolk Island
VJ4,Australia
VJ9,Norfolk Island
VK0,Antarctica
VK4,Australia
VK9,Norfolk Island
VL4,Australia
VL9,Norfolk Island
VM4,Australia
VM9,Norfolk Island
VN4,Australia
VN9,Norfolk Island
VO1,Canada
VO2,Canada
VP5,Turks & Caicos Islands
VP6,Pitcairn Island
VP8,Falkland Islands
VP9,Bermuda
VQ5,Turks & Caicos Islands
VQ9,Chagos Islands
VU4,Andaman & Nicobar Is.
VU7,Lakshadweep Islands
VX2,Canada
VY0,Canada
VY1,Canada
VY2,Canada
VY9,Canada
VZ4,Australia
VZ9,Norfolk Island
V2,Antigua & Barbuda
V3,Belize
V4,St. Kitts & Nevis
V5,Namibia
V6,Micronesia
V7,Marshall Islands
V8,Brunei Darussalam
V9,South Africa
VA,Canada
VB,Canada
VC,Canada
VE,Canada
VG,Canada
VH,Australia
VI,Australia
VJ,Australia
VK,Australia
VL,Australia
VM,Australia
VN,Australia
VR,Hong Kong
VT,India
VU,India
VV,India
VW,India
VX,Canada
VZ,Australia
WH7K,Kure Island
WH0,Mariana Islands
WH1,Baker & Howland Islands
WH2,Guam
WH3,Johnston Island
WH4,Midway Island
WH5,Palmyra & Jarvis Islands
WH6,Hawaii
WH7,Hawaii
WH8,American Samoa
WH9,Wake Island
WP1,Navassa Island
WP2,US Virgin Islands
WP3,Puerto Rico
WP4,Puerto Rico
WP5,Desecheo Island
WL,Alaska
W,United States
XQ0X,San Felix & San Ambrosio
XQ0Z,Juan Fernandez Islands
XR0X,San Felix & San Ambrosio
XR0Z,Juan Fernandez Islands
XA4,Revillagigedo
XB4,Revillagigedo
XC4,Revillagigedo
XD4,Revillagigedo
XE4,Revillagigedo
XF0,Revillagigedo
XF4,Revillagigedo
XG4,Revillagigedo
XH4,Revillagigedo
XI4,Revillagigedo
XJ1,Canada
XJ2,Canada
XK0,Canada
XK1,Canada
XK2,Canada
XL2,Canada
XM2,Canada
XN1,Canada
XN2,Canada
XO0,Canada
XO1,Canada
XO2,Canada
XQ0,Easter Island
XQ7,Chile
XQ8,Chile
XR0,Easter Island
XR7,Chile
XR8,Chile
XR9,South Shetland Islands
XS0,China
XS9,China
XX9,Macao
XA,Mexico
XB,Mexico
XC,Mexico
XD,Mexico
XE,Mexico
XF,Mexico
XG,Mexico
XH,Mexico
XI,Mexico
XL,Canada
XM,Canada
XP,Greenland
XQ,Chile
XR,Chile
XS,China
XT,Burkina Faso
XU,Cambodia
XV,Vietnam
XW,Laos
XY,Myanmar
XZ,Myanmar
YB0,Indonesia
YB1,Indonesia
YB2,Indonesia
YB3,Indonesia
YB4,Indonesia
YB5,Indonesia
YB6,Indonesia
YB7,Indonesia
YB8,Indonesia
YC0,Indonesia
YC1,Indonesia
YC2,Indonesia
YC3,Indonesia
YC4,Indonesia
YC5,Indonesia
YC6,Indonesia
YC7,Indonesia
YC8,Indonesia
YD0,Indonesia
YD1,Indonesia
YD2,Indonesia
YD3,Indonesia
YD4,Indonesia
YD5,Indonesia
YD6,Indonesia
YD7,Indonesia
YD8,Indonesia
YE0,Indonesia
YE1,Indonesia
YE2,Indonesia
YE3,Indonesia
YE4,Indonesia
YE5,Indonesia
YE6,Indonesia
YE7,Indonesia
YE8,Indonesia
YF0,Indonesia
YF1,Indonesia
YF2,Indonesia
YF3,Indonesia
YF4,Indonesia
YF5,Indonesia
YF6,Indonesia
YF7,Indonesia
YF8,Indonesia
YG0,Indonesia
YG1,Indonesia
YG2,Indonesia
YG3,Indonesia
YG4,Indonesia
YG5,Indonesia
YG6,Indonesia
YG7,Indonesia
YG8,Indonesia
YH0,Indonesia
YH1,Indonesia
YH2,Indonesia
YH3,Indonesia
YH4,Indonesia
YH5,Indonesia
YH6,Indonesia
YH7,Indonesia
YH8,Indonesia
YM1,European Turkey
YV0,Aves Island
YW0,Aves Island
YX0,Aves Island
YY0,Aves Island
YA,Afghanistan
YB,Indonesia
YC,Indonesia
YD,Indonesia
YE,Indonesia
YF,Indonesia
YG,Indonesia
YH,Indonesia
YI,Iraq
YJ,Vanuatu
YK,Syria
YL,Latvia
YM,Asiatic Turkey
YN,Nicaragua
YO,Romania
YP,Romania
YQ,Romania
YR,Romania
YS,El Salvador
YT,Serbia
YU,Serbia
YV,Venezuela
YW,Venezuela
YX,Venezuela
YY,Venezuela
ZV0ZF,Fernando de Noronha
ZV0ZR,Fernando de Noronha
ZV0ZS,St. Peter & St. Paul
ZV0ZT,Trindade & Martim Vaz
ZW0ZF,Fernando de Noronha
ZW0ZR,Fernando de Noronha
ZW0ZS,St. Peter & St. Paul
ZW0ZT,Trindade & Martim Vaz
ZX0ZF,Fernando de Noronha
ZX0ZR,Fernando de Noronha
ZX0ZS,St. Peter & St. Paul
ZX0ZT,Trindade & Martim Vaz
ZY0ZS,St. Peter & St. Paul
ZY0ZT,Trindade & Martim Vaz
ZZ0ZF,Fernando de Noronha
ZZ0ZR,Fernando de Noronha
ZZ0ZS,St. Peter & St. Paul
ZZ0ZT,Trindade & Martim Vaz
ZL50,New Zealand
ZV0F,Fernando de Noronha
ZV0R,Fernando de Noronha
ZV0S,St. Peter & St. Paul
ZV0T,Trindade & Martim Vaz
ZW0F,Fernando de Noronha
ZW0R,Fernando de Noronha
ZW0S,St. Peter & St. Paul
ZW0T,Trindade & Martim Vaz
ZX0F,Fernando de Noronha
ZX0R,Fernando de Noronha
ZX0S,St. Peter & St. Paul
ZX0T,Trindade & Martim Vaz
ZY0F,Fernando de Noronha
ZY0R,Fernando de Noronha
ZY0S,St. Peter & St. Paul
ZY0T,Trindade & Martim Vaz
ZY0Z,Fernando de Noronha
ZZ0F,Fernando de Noronha
ZZ0R,Fernando de Noronha
ZZ0S,St. Peter & St. Paul
ZZ0T,Trindade & Martim Vaz
ZC4,UK Base Areas on Cyprus
ZD7,St. Helena
ZD8,Ascension Island
ZD9,Tristan da Cunha & Gough
ZK3,Tokelau Islands
ZL5,Antarctica
ZL7,Chatham Islands
ZL8,Kermadec Islands
ZL9,N.Z. Subantarctic Is.
ZM5,Antarctica
ZM7,Chatham Islands
ZM8,Kermadec Islands
ZR8,Pr. Edward & Marion Is.
ZS7,Antarctica
ZS8,Pr. Edward & Marion Is.
ZT8,Pr. Edward & Marion Is.
ZU8,Pr. Edward & Marion Is.
Z2,Zimbabwe
Z3,Macedonia
Z6,Kosovo
Z8,Republic of South Sudan
ZA,Albania
ZB,Gibraltar
ZF,Cayman Islands
ZG,Gibraltar
ZK,New Zealand
ZL,New Zealand
ZM,New Zealand
ZP,Paraguay
ZR,South Africa
ZS,South Africa
ZT,South Africa
ZU,South Africa
ZV,Brazil
ZW,Brazil
ZX,Brazil
ZY,Brazil
ZZ,Brazil
